page,entry
1, ば
5, ばかり
10, だけ
13, だけに
14, だの
15, だって
17, で
26, でも
29, どころ
29, どころか
30, でも
30, え
34, が
42, "がな,がなあ"
42, がてら
235, は
30, へ
43, ほど
45, ほか
45, い
46, か
51, かい
52, "かな,かなあ"
53, から
65, からして
66, かしら
69, け
70, "けれども,けれど,けど,けども"
73, きり
75, こそ
77, こと
79, "くらい,ぐらい"
81, くせに
83, まで
88, までも
89, までに
91, も
98, もの
99, "もので,もんで"
100, "ものか,もんか"
101, "ものなら,もんなら"
102, ものの
103, ものを
105, "な,なあ"
108, "など,なんか"
110, ながら
111, ながらも
112, なんて
113, なり
115, んで
116, "ね,ねえ"
118, に
136, にも
137, にもかかわらず
138, において
140, にして
140, にしても
141, にしては
142, にて
143, "の,ん"
158, "のだ,んだ"
159, "なだろう,んだろう"
160, "ので,んで"
162, ので
163, のである
164, "のでしょう,んでしょう"
164, "のです,んです"
166, のみ
167, のに
169, のに
170, を
177, さ
179, さえ
180, し
182, しか
183, しも
185, すら
186, なら
188, たり
189, たって
190, て
195, てば
196, "ても,でも"
198, てね
198, ては
200, と
210, といえば
210, といい
211, といった
211, といって
212, といわず
213, とか
215, ところ
215, ところで
216, ところへ
216, ところが
217, ところを
218, とも
220, とも
220, ともあれ
222, として
223, としても
224, としては
225, とは
226, とはいえ
227, という
229, ということは
230, というのは(も)
231, というと
232, って
235, は
239, わ
170, を
241, や
246, やい
247, やいなや
248, やら
251, よ
253, より
257, ぜ
258, ぞ
259, ずつ
