Concept,Sub-entry,Page,Page Count,dojg,dojp
あいだ,,1,2,B. 67,
あえて,,2,2,,
あがる,,3,2,,
あくまで,,4,2,,
あげく,,5,2,,
あげる,,6,2,"B. 63, B. 65",
あたかも,,7,1,,
あっての,,7,1,,
あと,1,7,3,,
あと,2,9,1,,
あとから,,9,2,,
あとで,,10,1,B. 78,
あとは...だけ,,10,1,,
あまり,,10,3,B. 72,
あらためる,,12,1,,
あるいは,,12,3,,
あるまじき...だ,,14,1,,
あれで,,14,2,,
あれでも,,15,1,,
あんまり,,15,2,,
いい,,16,3,,
いう,,18,3,,
いうまでもない,,20,2,,
いか,,21,2,,
いがい,,22,2,,
いかなる,,23,2,,
いかに,,24,2,,
いかにも,,25,2,,
いかん,,26,2,,
いくら,,27,3,,
いご,,29,2,,
いささか,,30,1,,
いざしらず,,30,1,,
いじょう,,30,5,,
いずれ,1,34,2,,
いずれ,2,35,1,,
いぜん,,35,2,,
いぜん,,36,2,,
いたり,,37,1,,
いちがいに...ない,,37,2,,
いちど,,38,1,,
いつか,,38,2,,
いっこうに,,39,1,,
いっさい,,40,1,,
いつしか,,40,1,,
いっそ,,40,2,,
いったい,,41,1,,
いったん...と,,41,2,,
いっぽう,,42,2,,
いない,,43,1,,
いまごろ,,43,1,,
いまさら,,43,3,,
いまだ,,45,1,,
いまでこそ,,45,2,,
いまに,,46,1,,
いまにも,,46,1,,
いまや,,46,1,,
いらい,,46,3,,
いわば,,48,1,,
いわゆる,,48,1,,
うえ,,48,4,,
うち,,51,3,,
うる,,53,2,,
お...いたす,,54,1,,
お...いただく,,54,2,,
お...くださる,,55,1,,
お...する,,55,1,,
お...です,,55,2,,
お...なさる,,56,1,,
お...になる,,56,1,,
お...ねがう,,56,2,,
おいそれと(は)...ない,,57,1,,
おいて,,57,1,,
おかげで,,57,2,,
おきに,,58,1,,
おそらく,,58,2,,
おそれがある,,59,1,,
おなじ,,59,2,,
おぼえはない,,60,1,,
おまけに,,60,2,,
おもう,,61,4,,
おもえば,,64,2,,
おもったら,,65,2,,
および,,66,1,,
おり,,66,2,,
か,,67,5,"B. 164, B. 166, B. 168",46
が,1,71,3,"B. 118, B. 120",34
が,2,73,2,"B. 118, B. 120",34
かい,,74,1,B. 170,51
かえって,,74,2,,
かえる,,75,2,,
がかり,,76,1,,
がかる,,77,1,,
かぎり,,77,3,,
かぎる,,79,2,,
かくして,,80,1,,
かけ,,80,1,,
かける,,80,2,,
がさいご,,81,2,,
がたい,,82,1,B. 307,
かたがた,,82,1,,
かたわら,,82,2,,
がち,,83,2,,
かつ,,84,1,,
かつて,,84,2,,
がてら,,85,1,,42
かというと,,85,2,,
かとおもうと,,86,1,,
かとおもうほど,,86,1,,
かとおもえば,,86,2,,
